19:17:06 INFO  : Registering command handlers for SDK TCF services
19:17:08 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\juandres666\Desktop\Nexys4DDR\project_3\project_3.sdk\temp_xsdb_launch_script.tcl
19:17:15 INFO  : XSCT server has started successfully.
19:17:21 INFO  : Successfully done setting XSCT server connection channel  
19:17:21 INFO  : Processing command line option -hwspec C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper.hdf.
19:17:22 INFO  : Successfully done setting SDK workspace  
19:32:29 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
19:32:31 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
19:32:34 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
19:35:52 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
19:35:52 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
19:35:55 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
19:36:49 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
19:36:50 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
19:36:52 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
20:01:03 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:01:03 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
20:01:05 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
20:12:39 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:12:39 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
20:12:42 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
20:28:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:28:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
20:28:36 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
20:31:58 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:31:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
20:32:01 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
20:33:09 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:33:09 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A6EBF6A" && level==0} -index 0' command is executed.
20:33:11 INFO  : FPGA configured successfully with bitstream "C:/Users/juandres666/Desktop/Nexys4DDR/project_3/project_3.sdk/design_1_wrapper_hw_platform_0/download.bit"
